case,model,exit,iters,walltime_s,p_res,U_res,Cd,Cl,U_cl,converged,note,p_res_final,conv_state
cylinder,fusedKOmegaSST,0,1500,157,2.6909637e-05,1.6882128e-05,1.407351e+00,3.500676e-03,NA,0,,6.8919e-03,slow
cylinder,fusedKOmega,0,1500,193,2.7997771e-06,8.2819178e-07,7.317492e+00,7.864358e-03,NA,0,,3.8371e-04,conv
cylinder,fusedMixingLength,0,949,125,8.181613e-08,6.4153229e-08,1.670127e+00,2.928493e-03,NA,0,,1.8044e-05,conv
cylinder,fusedEARSMwj,0,1500,215,0.00017544413,2.8819675e-05,1.382442e+00,3.641602e-03,NA,0,,2.1245e-02,slow
cylinder,fusedEARSMhellsten,0,1500,199,0.00020501739,2.8410472e-05,1.382627e+00,4.772838e-03,NA,0,,2.0857e-02,slow
cylinder,fusedEARSMgs,0,1500,104,0.0001703373,3.450185e-05,1.384369e+00,4.270154e-03,NA,0,,1.8423e-02,slow
cylinder,fusedRSM,0,1500,130,9.0539224e-05,3.3370218e-05,1.384456e+00,3.504643e-03,NA,0,,1.8119e-02,slow
cylinder,fusedGEP,0,1500,81,3.9188413e-07,4.9098844e-07,1.756219e+00,2.834342e-03,NA,0,,7.6879e-05,conv
cylinder,nnMLP-small,0,1500,67,0.00033848665,5.096845e-06,5.007396e+00,1.041103e-02,NA,0,,8.5725e-02,stall?
cylinder,nnMLP-med,0,1500,66,0.00025738993,3.5298971e-06,5.110385e+00,1.817092e-02,NA,0,,7.8839e-02,stall?
cylinder,nnMLP-large,0,1500,82,0.00031030619,3.5340715e-06,5.146880e+00,1.190047e-02,NA,0,,8.1154e-02,stall?
cylinder,nnTBNN-small,0,1500,77,0.0018736685,0.00019844294,1.392383e+00,2.209322e-03,NA,0,,3.6355e-01,STALL
cylinder,nnTBNN-med,0,1500,66,0.0034930373,0.00047055682,1.536143e+00,2.749858e-03,NA,0,,4.3950e-01,STALL
cylinder,nnTBNN-large,0,1500,85,0.0024821875,0.00014142356,1.640150e+00,-2.444952e-03,NA,0,,3.2281e-01,STALL
cylinder,nnPITBNN-small,0,1500,75,0.0018293964,0.00066744465,1.428451e+00,-3.312155e-03,NA,0,,4.5031e-01,STALL
cylinder,nnPITBNN-med,0,1500,76,0.0025144455,0.00042315975,1.409586e+00,-1.162428e-01,NA,0,,3.5164e-01,STALL
cylinder,nnPITBNN-large,0,1500,85,0.0019101026,0.00055602716,1.486550e+00,1.582935e-03,NA,0,,3.8798e-01,STALL
cylinder,nnTBRF-1t,0,1500,78,0.00057785095,2.6498342e-05,-1.159641e+01,-8.838957e+00,NA,0,,1.0544e-01,stall?
cylinder,nnTBRF-5t,0,1500,79,0.0011873539,0.00012501859,1.447407e+00,8.566222e-03,NA,0,,2.1828e-01,STALL
cylinder,nnTBRF-10t,0,1500,80,0.0026939208,0.00018988069,1.497373e+00,9.709412e-03,NA,0,,2.8211e-01,STALL
sphere,fusedKOmegaSST,0,407,62,5.8880089e-08,3.5488992e-08,7.978118e-01,1.813978e-03,NA,0,,2.6497e-05,conv
sphere,fusedKOmega,0,407,61,5.8898405e-08,3.548436e-08,7.977603e-01,1.817323e-03,NA,0,,2.6501e-05,conv
sphere,fusedMixingLength,0,395,54,7.9619769e-08,4.1729125e-08,8.419377e-01,6.406091e-04,NA,0,,1.7047e-05,conv
sphere,fusedEARSMwj,0,1500,135,5.0471398e-05,4.5745533e-07,7.825131e-01,1.084761e-03,NA,0,,7.6085e-03,slow
sphere,fusedEARSMhellsten,0,1500,1696,4.042817e-05,4.2556656e-07,7.825113e-01,1.098697e-03,NA,0,,6.7475e-03,slow
sphere,fusedEARSMgs,0,407,987,5.8899964e-08,3.5471099e-08,7.976625e-01,1.819792e-03,NA,0,,2.6500e-05,conv
sphere,fusedRSM,0,1500,1176,7.6656991e-08,9.9815267e-08,7.828400e-01,1.042989e-03,NA,0,,3.9662e-07,conv
sphere,fusedGEP,0,409,62,8.0296691e-08,4.9196853e-08,8.745609e-01,5.366137e-04,NA,0,,2.9929e-05,conv
sphere,nnMLP-small,0,1500,106,0.00029708033,2.4489948e-06,9.140874e+00,1.351282e-03,NA,0,,6.0073e-02,stall?
sphere,nnMLP-med,0,1500,118,0.00030432785,2.0206962e-06,8.941275e+00,2.143861e-03,NA,0,,7.7474e-02,stall?
sphere,nnMLP-large,0,1500,246,7.0031794e-05,4.068884e-07,9.170072e+00,8.289903e-05,NA,0,,1.4485e-02,slow
sphere,nnTBNN-small,0,1500,127,9.6799374e-06,3.9804173e-07,7.878737e-01,7.157896e-04,NA,0,,1.0665e-03,slow
sphere,nnTBNN-med,0,1500,153,9.7125344e-06,1.0107874e-07,7.904911e-01,9.355757e-04,NA,0,,1.1056e-03,slow
sphere,nnTBNN-large,0,1500,225,8.2092531e-06,9.1461981e-08,7.886251e-01,9.923348e-04,NA,0,,9.2972e-04,conv
sphere,nnPITBNN-small,0,1500,140,5.1225937e-06,8.1079504e-08,7.868468e-01,7.891363e-04,NA,0,,6.7175e-04,conv
sphere,nnPITBNN-med,0,1500,166,8.7348609e-07,8.1603744e-08,7.859959e-01,9.196210e-04,NA,0,,1.4234e-04,conv
sphere,nnPITBNN-large,0,1500,239,1.6240222e-06,3.7802856e-08,7.873524e-01,7.706639e-04,NA,0,,2.1851e-04,conv
sphere,nnTBRF-1t,0,1500,118,0.00010862905,2.371198e-06,7.795113e-01,5.877498e-04,NA,0,,2.3898e-02,slow
sphere,nnTBRF-5t,0,1500,121,7.8079243e-05,1.7811664e-06,7.809739e-01,5.285796e-04,NA,0,,1.9320e-02,slow
sphere,nnTBRF-10t,0,1500,126,0.00010167869,2.0024836e-06,7.784994e-01,5.588559e-04,NA,0,,2.8161e-02,slow
duct,fusedKOmegaSST,0,3000,448,0.0009189611,3.5929175e-08,NA,NA,1.383257e+00,0,,1.3425e-01,stall?
duct,fusedKOmega,0,3000,422,0.0010569589,4.1808667e-08,NA,NA,1.383877e+00,0,,1.1916e-01,stall?
duct,fusedMixingLength,0,3000,408,0.0060911221,8.5444995e-08,NA,NA,1.612657e+00,0,,6.4602e-01,STALL
duct,fusedEARSMwj,0,3000,512,0.00080352307,1.5357391e-07,NA,NA,1.347798e+00,0,,1.2578e-01,stall?
duct,fusedEARSMhellsten,0,3000,488,0.0005098335,3.1908472e-07,NA,NA,1.337372e+00,0,,7.0533e-02,stall?
duct,fusedEARSMgs,0,3000,589,0.00087700471,7.8277688e-05,NA,NA,1.467923e+00,0,,3.4842e-01,STALL
duct,fusedRSM,0,3000,568,8.5187473e-08,1.2892932e-07,NA,NA,1.366433e+00,0,,2.5518e-05,conv
duct,fusedGEP,0,3000,425,0.0019129015,1.440829e-05,NA,NA,1.411385e+00,0,,3.0373e-01,STALL
duct,nnMLP-small,0,3000,331,0.0013805594,2.9240961e-05,NA,NA,1.062557e+00,0,,5.1210e-01,STALL
duct,nnMLP-med,0,3000,457,0.00095214676,1.8010088e-05,NA,NA,1.061542e+00,0,,3.5950e-01,STALL
duct,nnMLP-large,0,3000,720,0.00081663428,1.4316512e-05,NA,NA,1.059584e+00,0,,3.2210e-01,STALL
duct,nnTBNN-small,0,3000,472,0.00079218513,0.00011371913,NA,NA,1.398187e+00,0,,3.2985e-01,STALL
duct,nnTBNN-med,0,3000,350,0.0032382819,4.7938953e-05,NA,NA,1.304196e+00,0,,8.2938e-01,STALL
duct,nnTBNN-large,0,3000,531,0.0011275383,0.00014681814,NA,NA,1.411542e+00,0,,4.6556e-01,STALL
duct,nnPITBNN-small,0,3000,353,0.00083154119,0.00011232056,NA,NA,1.284300e+00,0,,3.5141e-01,STALL
duct,nnPITBNN-med,0,3000,393,0.0011781943,0.00028691841,NA,NA,1.199017e+00,0,,3.3338e-01,STALL
duct,nnPITBNN-large,0,3000,530,0.0010309515,0.00020485352,NA,NA,1.351105e+00,0,,3.4476e-01,STALL
duct,nnTBRF-1t,0,3000,385,0.0013712891,0.00043802084,NA,NA,1.083757e+00,0,,3.2959e-01,STALL
duct,nnTBRF-5t,0,3000,381,0.0013547663,6.8756589e-05,NA,NA,1.252548e+00,0,,3.6457e-01,STALL
duct,nnTBRF-10t,0,3000,369,0.0013750446,7.7356195e-05,NA,NA,1.333916e+00,0,,3.8098e-01,STALL
duct_re2500,fusedKOmegaSST,0,3000,458,0.0011224119,4.801686e-08,NA,NA,1.434727e+00,0,,1.3368e-01,stall?
duct_re2500,fusedKOmega,0,3000,430,0.00089352508,1.6634986e-07,NA,NA,1.431800e+00,0,,1.1934e-01,stall?
duct_re2500,fusedMixingLength,0,3000,442,0.00055432882,2.482382e-08,NA,NA,1.676185e+00,0,,6.0864e-02,stall?
duct_re2500,fusedEARSMwj,0,3000,405,0.00011455229,1.2537312e-07,NA,NA,1.353089e+00,0,,1.4539e-02,slow
duct_re2500,fusedEARSMhellsten,0,3000,373,9.7207561e-05,1.3842821e-07,NA,NA,1.346297e+00,0,,2.2090e-02,slow
duct_re2500,fusedEARSMgs,0,3000,487,0.0017077003,8.2770043e-05,NA,NA,1.426633e+00,0,,3.4071e-01,STALL
duct_re2500,fusedRSM,0,3000,468,9.6170822e-08,1.1688753e-07,NA,NA,1.396978e+00,0,,2.6978e-05,conv
duct_re2500,fusedGEP,0,3000,427,0.0017154119,1.6677137e-05,NA,NA,1.359952e+00,0,,3.0546e-01,STALL
duct_re2500,nnMLP-small,0,3000,330,0.0013395795,2.207778e-05,NA,NA,1.086699e+00,0,,5.0729e-01,STALL
duct_re2500,nnMLP-med,0,3000,349,0.0010325488,1.4224389e-05,NA,NA,1.087279e+00,0,,3.5821e-01,STALL
duct_re2500,nnMLP-large,0,3000,588,0.00081361214,1.0391945e-05,NA,NA,1.084311e+00,0,,3.3343e-01,STALL
duct_re2500,nnTBNN-small,0,3000,367,0.0007809176,0.00016972613,NA,NA,1.517803e+00,0,,3.3525e-01,STALL
duct_re2500,nnTBNN-med,0,3000,349,0.0033209983,5.0138039e-05,NA,NA,1.339187e+00,0,,7.8321e-01,STALL
duct_re2500,nnTBNN-large,0,3000,529,0.0011676509,0.00015641184,NA,NA,1.444650e+00,0,,4.6876e-01,STALL
duct_re2500,nnPITBNN-small,0,3000,351,0.00074544997,0.00012026184,NA,NA,1.295714e+00,0,,3.5686e-01,STALL
duct_re2500,nnPITBNN-med,0,3000,394,0.0012308087,0.00030822201,NA,NA,1.304769e+00,0,,3.3140e-01,STALL
duct_re2500,nnPITBNN-large,0,3000,529,0.001028789,0.00022477711,NA,NA,1.381258e+00,0,,3.4575e-01,STALL
duct_re2500,nnTBRF-1t,0,3000,349,0.0014028599,0.00042043864,NA,NA,1.079669e+00,0,,3.2806e-01,STALL
duct_re2500,nnTBRF-5t,0,3000,359,0.0014356152,7.0713171e-05,NA,NA,1.337150e+00,0,,3.5360e-01,STALL
duct_re2500,nnTBRF-10t,0,3000,404,0.0015868749,8.7246223e-05,NA,NA,1.365250e+00,0,,3.8372e-01,STALL
hills,fusedKOmegaSST,0,3000,1902,8.6493968e-07,5.6410811e-08,NA,NA,1.477301e+00,0,,1.0039e-04,conv
hills_re10595,fusedKOmegaSST,0,3000,2473,1.1704703e-06,8.0551776e-08,NA,NA,1.460390e+00,0,,1.3498e-04,conv
hills,fusedKOmega,0,3000,2181,6.9885157e-07,5.3395427e-08,NA,NA,1.381924e+00,0,,7.2173e-05,conv
hills,fusedMixingLength,0,3000,1819,8.8100213e-06,7.4583496e-07,NA,NA,1.156202e+00,0,,8.0279e-04,conv
hills_re10595,fusedKOmega,0,3000,2934,6.0062211e-07,7.3799381e-08,NA,NA,1.357387e+00,0,,6.7428e-05,conv
hills,nnPITBNN-med,0,3000,1003,0.0040441442,0.0016713225,NA,NA,1.640455e+00,0,,4.4673e-01,STALL
hills,fusedEARSMwj,0,3000,938,0.002156035,4.0097526e-06,NA,NA,1.154382e+00,0,,2.3145e-01,STALL
hills,fusedEARSMhellsten,1,473,631,-,-,NA,NA,1.390774e+00,0,nan_or_fatal,nan,STALL
hills_re10595,fusedMixingLength,0,3000,2087,1.0222474e-05,9.5862698e-07,NA,NA,1.146493e+00,0,,9.7046e-04,conv
hills,nnTBRF-10t,0,3000,978,0.0014341305,0.0004044378,NA,NA,1.363964e+00,0,,1.5026e-01,stall?
hills_re10595,fusedEARSMwj,0,3000,1007,0.0022762373,4.3848343e-06,NA,NA,1.049977e+00,0,,2.3786e-01,STALL
hills,fusedEARSMgs,0,3000,1007,0.0032073632,8.0058616e-05,NA,NA,1.278617e+00,0,,3.5970e-01,STALL
hills_re10595,fusedEARSMhellsten,1,218,608,-,-,NA,NA,1.687529e+04,0,nan_or_fatal,nan,STALL
hills,fusedRSM,0,3000,1493,2.7940334e-06,2.814328e-07,NA,NA,1.407620e+00,0,,3.3339e-04,conv
cylinder_re40,fusedKOmegaSST,0,1063,72,3.3201483e-08,8.9295896e-08,1.907628e+00,2.259757e-03,NA,0,,6.5261e-06,conv
cylinder_re40,fusedKOmega,124,4672,300,9.5906389e-08,4.7025229e-08,8.709620e+00,2.284102e-03,NA,0,timeout,1.6144e-05,conv
cylinder_re40,fusedMixingLength,0,955,160,5.0520933e-08,4.4443149e-08,2.065856e+00,2.007950e-03,NA,0,,9.1852e-06,conv
hills,fusedGEP,124,2394,1500,3.9550758e-05,2.1869537e-06,NA,NA,1.232537e+00,0,timeout,3.4616e-03,slow
hills,nnMLP-small,0,3000,892,0.0037629351,4.5699007e-06,NA,NA,1.131297e+00,0,,4.1957e-01,STALL
hills,nnMLP-med,0,3000,1190,0.0022959513,0.00011019973,NA,NA,1.114283e+00,0,,2.9512e-01,STALL
hills,nnMLP-large,124,1110,1500,0.001066698,6.6100111e-06,NA,NA,1.177183e+00,0,timeout,3.9361e-01,STALL
hills,nnPITBNN-large,124,2969,1500,0.0014661075,0.00041289391,NA,NA,7.504161e-01,0,timeout,1.5003e-01,stall?
hills,nnTBNN-small,0,3000,1229,0.0014894776,0.00040382901,NA,NA,1.617436e+00,0,,1.5168e-01,stall?
hills,nnTBRF-1t,0,3000,938,0.0021217971,0.0010689503,NA,NA,1.738802e-01,0,,3.5908e-01,STALL
hills,nnTBRF-5t,0,3000,1035,0.0014557633,0.00040038044,NA,NA,1.353391e+00,0,,1.5034e-01,stall?
hills_re10595,fusedEARSMgs,0,3000,1188,0.0034232844,8.3247445e-05,NA,NA,1.200181e+00,0,,3.5770e-01,STALL
hills_re10595,fusedRSM,124,2957,1500,3.2068002e-06,3.3633483e-07,NA,NA,1.377759e+00,0,timeout,3.5953e-04,conv
hills_re10595,nnPITBNN-med,0,3000,967,0.0039904669,0.0015124307,NA,NA,1.028953e+00,0,,4.2050e-01,STALL
hills_re10595,nnMLP-large,0,3000,1478,0.0012599459,2.3835122e-06,NA,NA,1.124170e+00,0,,3.9576e-01,STALL
hills_re2800,fusedKOmegaSST,0,3000,1324,4.483186e-07,4.5305245e-08,NA,NA,1.517589e+00,0,,5.0867e-05,conv
hills_re10595,nnTBNN-small,0,3000,930,0.0012440949,0.00045436844,NA,NA,1.538018e+00,0,,1.5395e-01,stall?
hills_re2800,fusedEARSMgs,0,3000,880,0.0029582457,4.8336174e-05,NA,NA,1.558211e+00,0,,3.5263e-01,STALL
hills_re10595,nnPITBNN-large,0,3000,1399,0.0011956516,0.00046768678,NA,NA,1.337195e+00,0,,1.5308e-01,stall?
hills_re2800,nnPITBNN-med,0,3000,954,0.0039361399,0.0016187414,NA,NA,1.865627e+00,0,,4.5629e-01,STALL
hills_re2800,nnMLP-large,0,3000,1402,0.0012702877,2.3574795e-06,NA,NA,1.123254e+00,0,,3.9911e-01,STALL
hills_re10595,nnTBRF-1t,0,3000,803,0.0021675075,0.0010742882,NA,NA,1.195601e+00,0,,3.6060e-01,STALL
hills_re10595,nnTBNN-med,0,3000,954,0.0020211323,0.0014074347,NA,NA,1.273937e+00,0,,2.1190e-01,STALL
hills_re2800,fusedKOmega,0,3000,1306,5.8837808e-07,4.9106084e-08,NA,NA,1.565687e+00,0,,8.8937e-05,conv
hills_re5600,fusedEARSMgs,0,3000,910,0.0031464026,7.3993392e-05,NA,NA,1.362330e+00,0,,3.6170e-01,STALL
hills_re5600,fusedKOmegaSST,0,3000,1450,6.2356109e-07,9.7977887e-08,NA,NA,1.494495e+00,0,,7.4287e-05,conv
hills_re2800,fusedRSM,0,3000,1385,2.1317255e-06,1.9291451e-07,NA,NA,1.444952e+00,0,,2.6994e-04,conv
hills_re2800,nnTBNN-small,0,3000,773,0.0035101192,5.2662022e-05,NA,NA,1.541648e+00,0,,6.6204e-01,STALL
hills_re5600,nnMLP-large,0,3000,1420,0.0012680356,2.3709582e-06,NA,NA,1.125701e+00,0,,3.9901e-01,STALL
hills_re2800,nnPITBNN-large,0,3000,1351,0.0032053827,0.00021026083,NA,NA,1.660298e+00,0,,3.8876e-01,STALL
hills_re2800,nnTBNN-med,0,3000,874,0.0039018588,2.0982913e-05,NA,NA,1.956168e+00,0,,6.9494e-01,STALL
hills_re5600,nnPITBNN-med,0,3000,926,0.004017661,0.0016664659,NA,NA,1.600680e+00,0,,4.5240e-01,STALL
hills_re2800,fusedGEP,0,3000,1217,1.5777256e-05,1.4004515e-06,NA,NA,1.606794e+00,0,,3.0484e-03,slow
hills_re5600,nnTBNN-small,0,3000,877,0.0011365303,0.00029637682,NA,NA,1.400672e+00,0,,1.4414e-01,stall?
hills_re5600,fusedRSM,0,3000,1458,3.0214454e-06,2.5098027e-07,NA,NA,1.425615e+00,0,,3.3425e-04,conv
hills_re2800,nnTBRF-1t,0,3000,820,0.002106857,0.00032517275,NA,NA,-7.081319e-01,0,,3.3937e-01,STALL
hills_re5600,fusedKOmega,124,2807,1500,2.7422595e-06,4.5570018e-08,NA,NA,1.423858e+00,0,timeout,9.7026e-05,conv
hills_re5600,nnTBNN-med,0,3000,1003,0.001636432,0.0003967798,NA,NA,1.946740e+00,0,,1.9557e-01,stall?
hills_re5600,nnPITBNN-large,0,3000,1353,0.0010675726,0.00030123644,NA,NA,1.356222e+00,0,,1.4192e-01,stall?
hills_re5600,nnTBRF-1t,0,3000,805,0.0020474612,0.0003290533,NA,NA,3.444022e+00,0,,3.5222e-01,STALL
cylinder_re40,fusedEARSMwj,124,173,160,0.00021441161,1.3106487e-05,1.895318e+00,3.961792e-03,NA,0,timeout,4.9632e-02,slow
cylinder_re200,fusedKOmegaSST,124,152,161,9.8050167e-05,3.3371077e-05,1.213424e+00,1.120769e-02,NA,0,timeout,1.4485e-02,slow
cylinder_re300,fusedKOmegaSST,124,158,160,0.00010768168,4.2256653e-05,1.153557e+00,3.296228e-03,NA,0,timeout,1.9703e-02,slow
cylinder_re40,fusedEARSMhellsten,124,904,160,1.5221509e-05,1.8387018e-07,1.878986e+00,2.987206e-03,NA,0,timeout,1.8640e-03,slow
cylinder_re200,fusedKOmega,124,837,160,7.9243328e-06,2.1726943e-06,5.592027e+00,1.398313e-02,NA,0,timeout,1.4533e-03,slow
cylinder_re300,fusedKOmega,124,842,160,8.5949581e-06,2.1789971e-06,5.658166e+00,1.726957e-02,NA,0,timeout,1.5317e-03,slow
cylinder_re40,fusedEARSMgs,124,865,161,2.861847e-07,9.0556273e-08,1.874739e+00,1.940819e-03,NA,0,timeout,4.6049e-05,conv
cylinder_re200,fusedMixingLength,124,1007,160,7.6519298e-08,5.9101226e-08,1.573586e+00,-4.023561e-04,NA,0,timeout,1.3562e-05,conv
cylinder_re300,fusedMixingLength,124,1119,160,9.0614717e-08,7.7803084e-08,1.572658e+00,-4.018080e-03,NA,0,timeout,1.3168e-05,conv
cylinder_re40,fusedRSM,124,579,161,1.9794335e-06,7.5144583e-07,1.873519e+00,1.055812e-03,NA,0,timeout,3.5364e-04,conv
cylinder_re200,fusedEARSMwj,124,767,160,0.00042726513,5.3791423e-05,1.206182e+00,1.725068e-02,NA,0,timeout,4.8993e-02,slow
cylinder_re300,fusedEARSMwj,124,793,160,0.0006290845,6.9847935e-05,1.141255e+00,1.577691e-02,NA,0,timeout,6.6227e-02,stall?
cylinder_re40,fusedGEP,124,944,160,6.0565449e-07,7.9750433e-07,2.089674e+00,2.178931e-03,NA,0,timeout,1.3668e-04,conv
cylinder_re200,fusedEARSMhellsten,124,752,160,0.00045762914,5.5235307e-05,1.205084e+00,1.097993e-02,NA,0,timeout,4.8903e-02,slow
cylinder_re300,fusedEARSMhellsten,124,786,161,0.00044004589,6.806267e-05,1.130665e+00,2.322001e-03,NA,0,timeout,6.6324e-02,stall?
cylinder_re40,nnMLP-small,124,1071,160,0.00030891843,5.5979801e-06,6.345510e+00,2.090676e-02,NA,0,timeout,9.1410e-02,stall?
cylinder_re300,fusedEARSMgs,124,703,160,0.00045625929,8.3561652e-05,1.179785e+00,-6.410858e-02,NA,0,timeout,6.2434e-02,stall?
cylinder_re200,fusedEARSMgs,124,700,160,0.00028078678,6.6168528e-05,1.215215e+00,-6.873510e-03,NA,0,timeout,4.4955e-02,slow
cylinder_re40,nnMLP-med,124,1115,160,0.00031361441,3.9875174e-06,6.475484e+00,3.611978e-02,NA,0,timeout,9.0787e-02,stall?
cylinder_re300,fusedRSM,124,570,160,0.00058960445,8.4142891e-05,1.178600e+00,9.025463e-02,NA,0,timeout,6.1976e-02,stall?
cylinder_re200,fusedRSM,124,571,160,0.00030787496,6.5318341e-05,1.215520e+00,-3.304970e-03,NA,0,timeout,4.4171e-02,slow
cylinder,fusedKOmegaMenter,0,600,140,1.1608592e-05,3.1303095e-06,4.353892e+00,8.817668e-03,NA,0,,2.4660e-03,slow
cylinder_re200,fusedGEP,124,2019,161,2.8124316e-07,3.6692264e-07,1.782206e+00,-2.099014e-03,NA,0,timeout,5.1676e-05,conv
cylinder_re300,fusedGEP,124,2333,160,1.297963e-06,2.8159546e-07,1.845766e+00,-8.911785e-03,NA,0,timeout,1.5389e-04,conv
cylinder_re40,nnMLP-large,124,2119,160,0.00029753025,3.2314202e-06,6.325665e+00,1.148917e-02,NA,0,timeout,9.7028e-02,stall?
cylinder_re200,nnMLP-small,0,3000,131,0.00030518928,5.1962857e-06,3.923851e+00,1.019343e-02,NA,0,,7.2789e-02,stall?
cylinder_re300,nnMLP-small,0,3000,130,0.00023399525,5.5847754e-06,3.241676e+00,5.521844e-03,NA,0,,6.3628e-02,stall?
cylinder_re40,nnTBNN-small,0,3000,149,0.0015897719,0.00010650172,1.735821e+00,-1.175966e-02,NA,0,,3.1686e-01,STALL
cylinder_re200,nnMLP-med,0,3000,129,0.00026598644,3.3596599e-06,3.955052e+00,9.311287e-03,NA,0,,6.0056e-02,stall?
cylinder_re300,nnMLP-med,0,3000,130,0.00024260904,3.7876814e-06,3.262393e+00,6.030084e-03,NA,0,,4.8732e-02,slow
cylinder_re40,nnTBNN-med,0,3000,141,0.0015163484,0.00029411738,1.825385e+00,2.262700e-03,NA,0,,4.3429e-01,STALL
cylinder_re40,fusedKOmegaMenter,0,3000,196,2.5901851e-07,1.9448485e-07,8.118902e+00,2.256261e-03,NA,0,,5.1452e-05,conv
cylinder_re200,fusedKOmegaMenter,0,3000,196,3.368104e-07,1.9054466e-07,9.422190e+00,9.428436e-03,NA,0,,5.5055e-05,conv
cylinder_re500,fusedKOmegaMenter,0,3000,195,4.2586942e-07,1.9231658e-07,9.664941e+00,1.308076e-02,NA,0,,6.4551e-05,conv
cylinder_re300,fusedKOmegaMenter,0,3000,196,3.8125718e-07,1.9103022e-07,9.556671e+00,1.090605e-02,NA,0,,5.9943e-05,conv
sphere_re100,fusedKOmegaMenter,0,425,64,8.9694311e-08,4.5821177e-08,1.130298e+00,2.659655e-04,NA,0,,1.8651e-05,conv
sphere,fusedKOmegaMenter,0,3000,211,2.0519602e-08,4.0629355e-08,7.798563e-01,6.893803e-04,NA,0,,1.0675e-07,conv
sphere_re300,fusedKOmegaMenter,0,1662,189,8.4768825e-08,3.764974e-08,6.636314e-01,4.431825e-02,NA,0,,1.9000e-05,conv
sphere_re500,fusedKOmegaMenter,124,2950,300,1.0618789e-07,6.4090808e-08,5.602650e-01,-2.941262e-03,NA,0,timeout,1.7531e-05,conv
duct,fusedKOmegaMenter,0,3000,425,0.0010569589,4.1808667e-08,NA,NA,1.383877e+00,0,,1.1916e-01,stall?
duct_re4400,fusedKOmegaMenter,0,3000,416,0.00081577966,9.4765671e-08,NA,NA,1.356089e+00,0,,1.0682e-01,stall?
duct_re2500,fusedKOmegaMenter,0,3000,447,0.00089352508,1.6634986e-07,NA,NA,1.431800e+00,0,,1.1934e-01,stall?
duct_re6400,fusedKOmegaMenter,0,3000,443,0.00019545175,4.5489593e-08,NA,NA,1.318472e+00,0,,2.4842e-02,slow
hills_re2800,fusedKOmegaMenter,0,3000,1300,5.8837808e-07,4.9106084e-08,NA,NA,1.565687e+00,0,,8.8937e-05,conv
hills,fusedKOmegaMenter,124,2590,1801,9.2657027e-07,1.0147061e-07,NA,NA,1.386792e+00,0,timeout,1.0592e-04,conv
hills_re10595,fusedKOmegaMenter,124,1965,1801,3.9397558e-06,4.5817844e-07,NA,NA,1.339062e+00,0,timeout,4.3729e-04,conv
hills_re5600,fusedKOmegaMenter,0,3000,1623,3.3282397e-07,7.773637e-08,NA,NA,1.421849e+00,0,,7.2106e-05,conv
cylinder_re200,nnMLP-large,0,490,1.73,0.069664489,0.001148379,4.049504e+00,1.507018e-02,NA,0,,7.0814e-02,stall?
cylinder_re300,nnMLP-large,0,477,1.7,0.068374971,0.0011839485,3.393188e+00,1.312354e-02,NA,0,,6.9680e-02,stall?
hills,nnTBNN-med,0,1647,129.27,0.26196115,0.041164789,NA,NA,1.910568e+00,0,,2.6155e-01,STALL
hills_re10595,fusedGEP,0,1319,31.86,0.00082629418,7.5068511e-05,NA,NA,1.234762e+00,0,,8.6012e-04,conv
hills_re10595,nnTBNN-large,0,433,29.74,0.15951144,0.095366854,NA,NA,1.522817e+00,0,,1.5951e-01,stall?
hills_re10595,nnTBRF-10t,0,1689,31.71,0.15361449,0.086178366,NA,NA,1.509097e+00,0,,1.5369e-01,stall?
hills_re10595,nnTBRF-5t,0,1282,29.69,0.15344778,0.085937446,NA,NA,1.615750e+00,0,,1.5309e-01,stall?
hills_re2800,fusedMixingLength,0,2482,30.96,5.6776392e-05,4.8712829e-06,NA,NA,1.269810e+00,0,,6.1274e-05,conv
hills_re2800,nnMLP-small,0,427,29.43,0.42483867,0.00080052855,NA,NA,1.199086e+00,0,,4.2595e-01,STALL
hills_re2800,nnTBNN-large,0,1229,29.72,0.39020626,0.011826052,NA,NA,1.775087e+00,0,,3.8981e-01,STALL
hills_re2800,nnTBRF-5t,0,1663,30.03,0.26437374,0.0080689227,NA,NA,1.566080e+00,0,,2.6362e-01,STALL
hills_re5600,fusedGEP,0,2555,30.87,0.0056167535,0.00033403076,NA,NA,1.450955e+00,0,,5.2913e-03,slow
hills_re5600,fusedMixingLength,0,1382,31.12,0.00061141285,4.9489648e-05,NA,NA,1.232677e+00,0,,7.0599e-04,conv
hills_re5600,nnTBNN-large,0,521,31.37,0.15947548,0.075540318,NA,NA,1.900601e+00,0,,1.5905e-01,stall?
hills_re5600,nnTBRF-5t,0,1742,29.71,0.1416821,0.061186904,NA,NA,1.611933e+00,0,,1.4231e-01,stall?
hills,nnTBNN-large,0,3000,1484,0.0014113747,0.00040944328,NA,NA,1.196646e+00,0,,1.5782e-01,stall?
hills,nnPITBNN-small,0,3000,941,0.0014096785,0.00039524036,NA,NA,1.599760e+00,0,,1.5148e-01,stall?
